N-gram-feat-comb,total_feat_num,weight scheme,classifier,cv-acc,cv-balanced_acc,cv-roc,cv-f1-fake,acc,balanced_acc,roc,f1_fake,f1_real
my-[1]-char+[0]-word+[0]-func,101,binary,LogisticRegression,0.66,0.64,0.79,0.52,0.75,0.72,0.85,0.65,0.8
my-[2]-char+[0]-word+[0]-func,1555,binary,LogisticRegression,0.79,0.79,0.89,0.78,0.85,0.84,0.94,0.81,0.88
my-[3]-char+[0]-word+[0]-func,7927,binary,LogisticRegression,0.68,0.68,0.81,0.64,0.82,0.8,0.9,0.77,0.85
my-[4]-char+[0]-word+[0]-func,20681,binary,LogisticRegression,0.66,0.65,0.75,0.6,0.79,0.76,0.85,0.71,0.83
my-[5]-char+[0]-word+[0]-func,31926,binary,LogisticRegression,0.64,0.64,0.72,0.59,0.75,0.72,0.83,0.64,0.81
my-[6]-char+[0]-word+[0]-func,37105,binary,LogisticRegression,0.63,0.63,0.7,0.58,0.74,0.71,0.81,0.63,0.8
my-[0]-char+[1]-word+[0]-func,4020,binary,LogisticRegression,0.65,0.64,0.73,0.57,0.74,0.72,0.79,0.63,0.8
my-[0]-char+[2]-word+[0]-func,6690,binary,LogisticRegression,0.64,0.63,0.68,0.51,0.67,0.63,0.72,0.48,0.76
my-[0]-char+[3]-word+[0]-func,2860,binary,LogisticRegression,0.62,0.59,0.68,0.35,0.61,0.56,0.65,0.29,0.73
my-[0]-char+[4]-word+[0]-func,847,binary,LogisticRegression,0.59,0.55,0.65,0.18,0.58,0.52,0.59,0.08,0.73
my-[0]-char+[5]-word+[0]-func,248,binary,LogisticRegression,0.55,0.5,0.6,0.0,0.57,0.5,0.59,0.0,0.73
my-[0]-char+[6]-word+[0]-func,85,binary,LogisticRegression,0.55,0.5,0.55,0.0,0.57,0.5,0.55,0.0,0.73
my-[0]-char+[0]-word+[1]-func,293,binary,LogisticRegression,0.64,0.62,0.68,0.48,0.66,0.63,0.68,0.49,0.75
my-[0]-char+[0]-word+[2]-func,3203,binary,LogisticRegression,0.63,0.61,0.65,0.48,0.68,0.64,0.68,0.51,0.76
my-[0]-char+[0]-word+[3]-func,3790,binary,LogisticRegression,0.61,0.57,0.62,0.33,0.61,0.55,0.65,0.28,0.73
my-[0]-char+[0]-word+[4]-func,1020,binary,LogisticRegression,0.56,0.51,0.58,0.06,0.58,0.51,0.61,0.05,0.73
my-[0]-char+[0]-word+[5]-func,136,binary,LogisticRegression,0.55,0.5,0.55,0.0,0.57,0.5,0.53,0.0,0.73
my-[0]-char+[0]-word+[6]-func,18,binary,LogisticRegression,0.55,0.5,0.52,0.0,0.57,0.5,0.52,0.0,0.73
my-[1]-char+[1]-word+[1]-func,4414,binary,LogisticRegression,0.7,0.69,0.82,0.64,0.77,0.76,0.87,0.7,0.82
my-[2]-char+[2]-word+[2]-func,11448,binary,LogisticRegression,0.78,0.78,0.87,0.75,0.86,0.84,0.93,0.81,0.89
my-[3]-char+[3]-word+[3]-func,14577,binary,LogisticRegression,0.7,0.69,0.8,0.65,0.82,0.8,0.9,0.77,0.85
my-[4]-char+[4]-word+[4]-func,22548,binary,LogisticRegression,0.66,0.65,0.75,0.6,0.78,0.76,0.85,0.7,0.83
my-[5]-char+[5]-word+[5]-func,32310,binary,LogisticRegression,0.64,0.63,0.72,0.59,0.74,0.72,0.83,0.63,0.8
my-[6]-char+[6]-word+[6]-func,37208,binary,LogisticRegression,0.63,0.63,0.7,0.58,0.75,0.72,0.81,0.64,0.81
my-[1]-char+[1]-word+[0]-func,4121,binary,LogisticRegression,0.71,0.7,0.84,0.65,0.81,0.8,0.89,0.76,0.85
my-[2]-char+[1]-word+[0]-func,5575,binary,LogisticRegression,0.79,0.79,0.89,0.77,0.86,0.84,0.94,0.82,0.88
my-[3]-char+[1]-word+[0]-func,11947,binary,LogisticRegression,0.68,0.68,0.8,0.64,0.82,0.81,0.9,0.77,0.86
my-[4]-char+[1]-word+[0]-func,24701,binary,LogisticRegression,0.65,0.65,0.75,0.6,0.79,0.77,0.85,0.71,0.84
my-[5]-char+[1]-word+[0]-func,35946,binary,LogisticRegression,0.65,0.64,0.73,0.59,0.75,0.72,0.83,0.65,0.81
my-[6]-char+[1]-word+[0]-func,41125,binary,LogisticRegression,0.65,0.64,0.72,0.6,0.76,0.73,0.82,0.64,0.81
my-[1]-char+[0]-word+[1]-func,394,binary,LogisticRegression,0.71,0.7,0.84,0.62,0.8,0.79,0.86,0.75,0.84
my-[2]-char+[0]-word+[1]-func,1848,binary,LogisticRegression,0.81,0.81,0.9,0.79,0.84,0.83,0.94,0.8,0.87
my-[3]-char+[0]-word+[1]-func,8220,binary,LogisticRegression,0.7,0.69,0.81,0.66,0.82,0.81,0.9,0.77,0.86
my-[4]-char+[0]-word+[1]-func,20974,binary,LogisticRegression,0.66,0.65,0.75,0.6,0.78,0.75,0.85,0.69,0.83
my-[5]-char+[0]-word+[1]-func,32219,binary,LogisticRegression,0.65,0.64,0.73,0.59,0.74,0.72,0.82,0.64,0.8
my-[6]-char+[0]-word+[1]-func,37398,binary,LogisticRegression,0.63,0.63,0.71,0.59,0.74,0.71,0.81,0.61,0.8
my-[1]-char+[1]-word+[0]-func,4121,binary,LogisticRegression,0.71,0.7,0.84,0.65,0.81,0.8,0.89,0.76,0.85
my-[1]-char+[2]-word+[0]-func,6791,binary,LogisticRegression,0.7,0.69,0.82,0.62,0.82,0.8,0.87,0.76,0.86
my-[1]-char+[3]-word+[0]-func,2961,binary,LogisticRegression,0.71,0.69,0.84,0.59,0.77,0.75,0.87,0.69,0.82
my-[1]-char+[4]-word+[0]-func,948,binary,LogisticRegression,0.68,0.66,0.82,0.55,0.76,0.73,0.85,0.66,0.81
my-[1]-char+[5]-word+[0]-func,349,binary,LogisticRegression,0.67,0.65,0.8,0.53,0.76,0.73,0.85,0.66,0.81
my-[1]-char+[6]-word+[0]-func,186,binary,LogisticRegression,0.66,0.64,0.79,0.52,0.75,0.72,0.85,0.65,0.8
my-[0]-char+[1]-word+[1]-func,4313,binary,LogisticRegression,0.66,0.65,0.73,0.59,0.72,0.7,0.77,0.62,0.78
my-[0]-char+[2]-word+[1]-func,6983,binary,LogisticRegression,0.66,0.65,0.7,0.57,0.69,0.66,0.73,0.54,0.77
my-[0]-char+[3]-word+[1]-func,3153,binary,LogisticRegression,0.65,0.63,0.71,0.52,0.68,0.64,0.7,0.5,0.76
my-[0]-char+[4]-word+[1]-func,1140,binary,LogisticRegression,0.65,0.63,0.71,0.5,0.66,0.62,0.69,0.46,0.75
my-[0]-char+[5]-word+[1]-func,541,binary,LogisticRegression,0.65,0.63,0.7,0.5,0.66,0.63,0.68,0.49,0.74
my-[0]-char+[6]-word+[1]-func,378,binary,LogisticRegression,0.65,0.62,0.69,0.49,0.66,0.63,0.68,0.49,0.75
