N-gram-feat-comb,total_feat_num,weight scheme,classifier,cv-acc,cv-balanced_acc,cv-roc,cv-f1-fake,acc,balanced_acc,roc,f1_fake,f1_real
1-0-0 char-word-func,101,binary,LogisticRegression,0.66,0.64,0.79,0.52,0.75,0.72,0.85,0.65,0.8
1-0-0 char-word-func,101,binary,LogisticRegression,0.66,0.64,0.79,0.52,0.75,0.72,0.85,0.65,0.8
1-0-0 char-word-func,101,binary,LinearSVC,0.73,0.73,0.81,0.72,0.8,0.79,0.0,0.76,0.83
1-0-0 char-word-func,101,binary,SVC,0.67,0.64,0.79,0.46,0.77,0.75,0.0,0.68,0.82
1-0-0 char-word-func,101,binary,DecisionTreeClassifier,0.72,0.72,0.72,0.68,0.77,0.76,0.78,0.72,0.8
1-0-0 char-word-func,101,binary,RandomForestClassifier,0.65,0.61,0.8,0.32,0.72,0.68,0.89,0.52,0.8
1-0-0 char-word-func,101,binary,MultinomialNB,0.64,0.66,0.77,0.7,0.66,0.69,0.82,0.69,0.63
1-0-0 char-word-func,101,binary,BernoulliNB,0.66,0.68,0.76,0.71,0.69,0.71,0.82,0.71,0.67
1-0-0 char-word-func,101,binary,AdaBoostClassifier,0.7,0.69,0.76,0.67,0.78,0.77,0.9,0.73,0.82
1-0-0 char-word-func,101,binary,LogisticRegression,0.66,0.64,0.79,0.52,0.75,0.72,0.85,0.65,0.8
1-0-0 char-word-func,101,binary,LinearSVC,0.73,0.73,0.81,0.72,0.8,0.79,0.0,0.76,0.83
1-0-0 char-word-func,101,binary,SVC,0.67,0.64,0.79,0.46,0.77,0.75,0.0,0.68,0.82
1-0-0 char-word-func,101,binary,DecisionTreeClassifier,0.72,0.72,0.72,0.68,0.77,0.76,0.78,0.72,0.8
1-0-0 char-word-func,101,binary,RandomForestClassifier,0.65,0.61,0.8,0.32,0.72,0.68,0.89,0.52,0.8
1-0-0 char-word-func,101,binary,MultinomialNB,0.64,0.66,0.77,0.7,0.66,0.69,0.82,0.69,0.63
1-0-0 char-word-func,101,binary,BernoulliNB,0.66,0.68,0.76,0.71,0.69,0.71,0.82,0.71,0.67
1-0-0 char-word-func,101,binary,AdaBoostClassifier,0.69,0.69,0.75,0.67,0.78,0.77,0.9,0.73,0.82
1-0-0 char-word-func,101,binary,LogisticRegression,0.66,0.64,0.79,0.52,0.75,0.72,0.85,0.65,0.8
1-0-0 char-word-func,101,binary,LinearSVC,0.73,0.73,0.81,0.72,0.8,0.79,0.0,0.76,0.83
1-0-0 char-word-func,101,binary,SVC,0.67,0.64,0.79,0.46,0.77,0.75,0.0,0.68,0.82
1-0-0 char-word-func,101,binary,DecisionTreeClassifier,0.72,0.72,0.72,0.68,0.77,0.76,0.78,0.72,0.8
1-0-0 char-word-func,101,binary,RandomForestClassifier,0.65,0.61,0.8,0.32,0.72,0.68,0.89,0.52,0.8
1-0-0 char-word-func,101,binary,MultinomialNB,0.64,0.66,0.77,0.7,0.66,0.69,0.82,0.69,0.63
1-0-0 char-word-func,101,binary,BernoulliNB,0.66,0.68,0.76,0.71,0.69,0.71,0.82,0.71,0.67
1-0-0 char-word-func,101,binary,AdaBoostClassifier,0.7,0.69,0.76,0.67,0.78,0.77,0.9,0.73,0.82
1-0-0 char-word-func,101,binary,LogisticRegression,0.66,0.64,0.79,0.52,0.75,0.72,0.85,0.65,0.8
1-0-0 char-word-func,101,binary,LinearSVC,0.73,0.73,0.81,0.72,0.8,0.79,0.0,0.76,0.83
1-0-0 char-word-func,101,binary,SVC,0.67,0.64,0.79,0.46,0.77,0.75,0.0,0.68,0.82
1-0-0 char-word-func,101,binary,DecisionTreeClassifier,0.72,0.72,0.72,0.68,0.77,0.76,0.78,0.72,0.8
1-0-0 char-word-func,101,binary,RandomForestClassifier,0.65,0.61,0.8,0.32,0.72,0.68,0.89,0.52,0.8
1-0-0 char-word-func,101,binary,MultinomialNB,0.64,0.66,0.77,0.7,0.66,0.69,0.82,0.69,0.63
1-0-0 char-word-func,101,binary,BernoulliNB,0.66,0.68,0.76,0.71,0.69,0.71,0.82,0.71,0.67
1-0-0 char-word-func,101,binary,AdaBoostClassifier,0.7,0.69,0.76,0.67,0.78,0.77,0.9,0.73,0.82
1-0-0 char-word-func,101,logent,LogisticRegression,0.55,0.5,0.81,0.0,0.57,0.5,0.86,0.0,0.73
1-0-0 char-word-func,101,logent,LinearSVC,0.67,0.64,0.82,0.47,0.74,0.71,0.0,0.62,0.8
1-0-0 char-word-func,101,logent,SVC,0.55,0.5,0.82,0.0,0.57,0.5,0.0,0.0,0.73
1-0-0 char-word-func,101,logent,DecisionTreeClassifier,0.7,0.7,0.7,0.69,0.75,0.74,0.74,0.7,0.79
1-0-0 char-word-func,101,logent,RandomForestClassifier,0.69,0.68,0.8,0.59,0.79,0.78,0.88,0.74,0.83
1-0-0 char-word-func,101,logent,MultinomialNB,0.71,0.71,0.8,0.69,0.76,0.76,0.84,0.73,0.78
1-0-0 char-word-func,101,logent,BernoulliNB,0.66,0.68,0.76,0.71,0.69,0.71,0.82,0.71,0.67
1-0-0 char-word-func,101,logent,AdaBoostClassifier,0.71,0.71,0.79,0.7,0.8,0.79,0.9,0.75,0.83
1-0-0 char-word-func,101,tfidf,LogisticRegression,0.55,0.5,0.75,0.0,0.57,0.5,0.82,0.0,0.73
1-0-0 char-word-func,101,tfidf,LinearSVC,0.55,0.5,0.75,0.0,0.57,0.5,0.0,0.0,0.73
1-0-0 char-word-func,101,tfidf,SVC,0.55,0.5,0.75,0.0,0.57,0.5,0.0,0.0,0.73
1-0-0 char-word-func,101,tfidf,DecisionTreeClassifier,0.68,0.68,0.68,0.66,0.78,0.76,0.76,0.72,0.82
1-0-0 char-word-func,101,tfidf,RandomForestClassifier,0.67,0.64,0.81,0.44,0.74,0.7,0.89,0.58,0.81
1-0-0 char-word-func,101,tfidf,MultinomialNB,0.61,0.57,0.78,0.22,0.69,0.64,0.88,0.44,0.79
1-0-0 char-word-func,101,tfidf,BernoulliNB,0.66,0.68,0.76,0.71,0.69,0.71,0.82,0.71,0.67
1-0-0 char-word-func,101,tfidf,AdaBoostClassifier,0.71,0.71,0.78,0.7,0.78,0.77,0.89,0.74,0.81
1-0-0 char-word-func,101,norm,LogisticRegression,0.6,0.55,0.72,0.19,0.71,0.66,0.79,0.5,0.8
1-0-0 char-word-func,101,norm,LinearSVC,0.66,0.63,0.77,0.35,0.73,0.68,0.0,0.54,0.8
1-0-0 char-word-func,101,norm,SVC,0.55,0.5,0.75,0.0,0.57,0.5,0.0,0.0,0.73
1-0-0 char-word-func,101,norm,DecisionTreeClassifier,0.73,0.73,0.73,0.71,0.76,0.75,0.75,0.71,0.79
1-0-0 char-word-func,101,norm,RandomForestClassifier,0.67,0.64,0.79,0.4,0.72,0.68,0.88,0.52,0.8
1-0-0 char-word-func,101,norm,MultinomialNB,0.65,0.63,0.77,0.4,0.73,0.68,0.82,0.54,0.8
1-0-0 char-word-func,101,norm,BernoulliNB,0.66,0.68,0.76,0.71,0.69,0.71,0.82,0.71,0.67
1-0-0 char-word-func,101,norm,AdaBoostClassifier,0.71,0.71,0.8,0.7,0.81,0.8,0.9,0.76,0.84
1-0-0 char-word-func,101,binary,LogisticRegression,0.66,0.64,0.79,0.52,0.75,0.72,0.85,0.65,0.8
1-0-0 char-word-func,101,binary,LinearSVC,0.73,0.73,0.81,0.72,0.8,0.79,0.0,0.76,0.83
1-0-0 char-word-func,101,binary,SVC,0.67,0.64,0.79,0.46,0.77,0.75,0.0,0.68,0.82
1-0-0 char-word-func,101,binary,DecisionTreeClassifier,0.72,0.72,0.72,0.68,0.77,0.76,0.78,0.72,0.8
1-0-0 char-word-func,101,binary,RandomForestClassifier,0.65,0.61,0.8,0.32,0.72,0.68,0.89,0.52,0.8
1-0-0 char-word-func,101,binary,MultinomialNB,0.64,0.66,0.77,0.7,0.66,0.69,0.82,0.69,0.63
1-0-0 char-word-func,101,binary,BernoulliNB,0.66,0.68,0.76,0.71,0.69,0.71,0.82,0.71,0.67
1-0-0 char-word-func,101,binary,AdaBoostClassifier,0.7,0.69,0.76,0.67,0.78,0.77,0.9,0.73,0.82
1-0-0 char-word-func,101,logent,LogisticRegression,0.55,0.5,0.81,0.0,0.57,0.5,0.86,0.0,0.73
1-0-0 char-word-func,101,logent,LinearSVC,0.67,0.64,0.82,0.47,0.74,0.71,0.0,0.62,0.8
1-0-0 char-word-func,101,logent,SVC,0.55,0.5,0.82,0.0,0.57,0.5,0.0,0.0,0.73
1-0-0 char-word-func,101,logent,DecisionTreeClassifier,0.7,0.7,0.7,0.69,0.75,0.74,0.74,0.7,0.79
1-0-0 char-word-func,101,logent,RandomForestClassifier,0.69,0.68,0.8,0.59,0.79,0.78,0.88,0.74,0.83
1-0-0 char-word-func,101,logent,MultinomialNB,0.71,0.71,0.8,0.69,0.76,0.76,0.84,0.73,0.78
1-0-0 char-word-func,101,logent,BernoulliNB,0.66,0.68,0.76,0.71,0.69,0.71,0.82,0.71,0.67
1-0-0 char-word-func,101,logent,AdaBoostClassifier,0.71,0.71,0.79,0.7,0.8,0.79,0.9,0.75,0.83
1-0-0 char-word-func,101,tfidf,LogisticRegression,0.55,0.5,0.75,0.0,0.57,0.5,0.82,0.0,0.73
1-0-0 char-word-func,101,tfidf,LinearSVC,0.55,0.5,0.75,0.0,0.57,0.5,0.0,0.0,0.73
1-0-0 char-word-func,101,tfidf,SVC,0.55,0.5,0.75,0.0,0.57,0.5,0.0,0.0,0.73
1-0-0 char-word-func,101,tfidf,DecisionTreeClassifier,0.68,0.68,0.68,0.66,0.78,0.76,0.76,0.72,0.82
1-0-0 char-word-func,101,tfidf,RandomForestClassifier,0.67,0.64,0.81,0.44,0.74,0.7,0.89,0.58,0.81
1-0-0 char-word-func,101,tfidf,MultinomialNB,0.61,0.57,0.78,0.22,0.69,0.64,0.88,0.44,0.79
1-0-0 char-word-func,101,tfidf,BernoulliNB,0.66,0.68,0.76,0.71,0.69,0.71,0.82,0.71,0.67
1-0-0 char-word-func,101,tfidf,AdaBoostClassifier,0.69,0.69,0.77,0.68,0.78,0.77,0.89,0.74,0.81
1-0-0 char-word-func,101,norm,LogisticRegression,0.6,0.55,0.72,0.19,0.71,0.66,0.79,0.5,0.8
1-0-0 char-word-func,101,norm,LinearSVC,0.66,0.63,0.77,0.35,0.73,0.68,0.0,0.54,0.8
1-0-0 char-word-func,101,norm,SVC,0.55,0.5,0.75,0.0,0.57,0.5,0.0,0.0,0.73
1-0-0 char-word-func,101,norm,DecisionTreeClassifier,0.73,0.73,0.73,0.71,0.76,0.75,0.75,0.71,0.79
1-0-0 char-word-func,101,norm,RandomForestClassifier,0.67,0.64,0.79,0.4,0.72,0.68,0.88,0.52,0.8
1-0-0 char-word-func,101,norm,MultinomialNB,0.65,0.63,0.77,0.4,0.73,0.68,0.82,0.54,0.8
1-0-0 char-word-func,101,norm,BernoulliNB,0.66,0.68,0.76,0.71,0.69,0.71,0.82,0.71,0.67
1-0-0 char-word-func,101,norm,AdaBoostClassifier,0.71,0.71,0.8,0.7,0.81,0.8,0.9,0.76,0.84
1-0-0 char-word-func,101,binary,LogisticRegression,0.66,0.64,0.79,0.52,0.75,0.72,0.85,0.65,0.8
1-0-0 char-word-func,101,binary,LinearSVC,0.73,0.73,0.81,0.72,0.8,0.79,0.0,0.76,0.83
1-0-0 char-word-func,101,binary,SVC,0.67,0.64,0.79,0.46,0.77,0.75,0.0,0.68,0.82
1-0-0 char-word-func,101,binary,DecisionTreeClassifier,0.72,0.72,0.72,0.68,0.77,0.76,0.78,0.72,0.8
1-0-0 char-word-func,101,binary,RandomForestClassifier,0.65,0.61,0.8,0.32,0.72,0.68,0.89,0.52,0.8
1-0-0 char-word-func,101,binary,MultinomialNB,0.64,0.66,0.77,0.7,0.66,0.69,0.82,0.69,0.63
1-0-0 char-word-func,101,binary,BernoulliNB,0.66,0.68,0.76,0.71,0.69,0.71,0.82,0.71,0.67
1-0-0 char-word-func,101,binary,AdaBoostClassifier,0.7,0.69,0.76,0.67,0.78,0.77,0.9,0.73,0.82
1-0-0 char-word-func,101,logent,LogisticRegression,0.55,0.5,0.81,0.0,0.57,0.5,0.86,0.0,0.73
1-0-0 char-word-func,101,logent,LinearSVC,0.67,0.64,0.82,0.47,0.74,0.71,0.0,0.62,0.8
1-0-0 char-word-func,101,logent,SVC,0.55,0.5,0.82,0.0,0.57,0.5,0.0,0.0,0.73
1-0-0 char-word-func,101,logent,DecisionTreeClassifier,0.7,0.7,0.7,0.69,0.75,0.74,0.74,0.7,0.79
1-0-0 char-word-func,101,logent,RandomForestClassifier,0.69,0.68,0.8,0.59,0.79,0.78,0.88,0.74,0.83
1-0-0 char-word-func,101,logent,MultinomialNB,0.71,0.71,0.8,0.69,0.76,0.76,0.84,0.73,0.78
1-0-0 char-word-func,101,logent,BernoulliNB,0.66,0.68,0.76,0.71,0.69,0.71,0.82,0.71,0.67
1-0-0 char-word-func,101,logent,AdaBoostClassifier,0.71,0.71,0.79,0.7,0.8,0.79,0.9,0.75,0.83
1-0-0 char-word-func,101,tfidf,LogisticRegression,0.55,0.5,0.75,0.0,0.57,0.5,0.82,0.0,0.73
1-0-0 char-word-func,101,tfidf,LinearSVC,0.55,0.5,0.75,0.0,0.57,0.5,0.0,0.0,0.73
1-0-0 char-word-func,101,tfidf,SVC,0.55,0.5,0.75,0.0,0.57,0.5,0.0,0.0,0.73
1-0-0 char-word-func,101,tfidf,DecisionTreeClassifier,0.68,0.68,0.68,0.66,0.78,0.76,0.76,0.72,0.82
1-0-0 char-word-func,101,tfidf,RandomForestClassifier,0.67,0.64,0.81,0.44,0.74,0.7,0.89,0.58,0.81
1-0-0 char-word-func,101,tfidf,MultinomialNB,0.61,0.57,0.78,0.22,0.69,0.64,0.88,0.44,0.79
1-0-0 char-word-func,101,tfidf,BernoulliNB,0.66,0.68,0.76,0.71,0.69,0.71,0.82,0.71,0.67
1-0-0 char-word-func,101,tfidf,AdaBoostClassifier,0.71,0.71,0.78,0.7,0.78,0.77,0.89,0.74,0.81
1-0-0 char-word-func,101,norm,LogisticRegression,0.6,0.55,0.72,0.19,0.71,0.66,0.79,0.5,0.8
1-0-0 char-word-func,101,norm,LinearSVC,0.66,0.63,0.77,0.35,0.73,0.68,0.0,0.54,0.8
1-0-0 char-word-func,101,norm,SVC,0.55,0.5,0.75,0.0,0.57,0.5,0.0,0.0,0.73
1-0-0 char-word-func,101,norm,DecisionTreeClassifier,0.73,0.73,0.73,0.71,0.76,0.75,0.75,0.71,0.79
1-0-0 char-word-func,101,norm,RandomForestClassifier,0.67,0.64,0.79,0.4,0.72,0.68,0.88,0.52,0.8
1-0-0 char-word-func,101,norm,MultinomialNB,0.65,0.63,0.77,0.4,0.73,0.68,0.82,0.54,0.8
1-0-0 char-word-func,101,norm,BernoulliNB,0.66,0.68,0.76,0.71,0.69,0.71,0.82,0.71,0.67
1-0-0 char-word-func,101,norm,AdaBoostClassifier,0.71,0.71,0.8,0.7,0.81,0.8,0.9,0.76,0.84
1-0-0 char-word-func,101,relat,LogisticRegression,0.55,0.5,0.7,0.0,0.57,0.5,0.75,0.0,0.73
1-0-0 char-word-func,101,relat,LinearSVC,0.55,0.5,0.7,0.0,0.57,0.5,0.0,0.0,0.73
1-0-0 char-word-func,101,relat,SVC,0.55,0.5,0.7,0.0,0.57,0.5,0.0,0.0,0.73
1-0-0 char-word-func,101,relat,DecisionTreeClassifier,0.73,0.73,0.73,0.71,0.76,0.75,0.75,0.71,0.8
1-0-0 char-word-func,101,relat,RandomForestClassifier,0.67,0.64,0.79,0.4,0.72,0.68,0.88,0.52,0.8
1-0-0 char-word-func,101,relat,MultinomialNB,0.55,0.51,0.65,0.03,0.57,0.5,0.71,0.0,0.73
1-0-0 char-word-func,101,relat,BernoulliNB,0.66,0.68,0.76,0.71,0.69,0.71,0.82,0.71,0.67
1-0-0 char-word-func,101,relat,AdaBoostClassifier,0.71,0.71,0.79,0.7,0.81,0.8,0.9,0.76,0.84
1-0-0 char-word-func,101,none (tf),LogisticRegression,0.74,0.74,0.83,0.72,0.79,0.77,0.89,0.73,0.82
1-0-0 char-word-func,101,none (tf),LinearSVC,0.71,0.7,0.81,0.64,0.74,0.7,0.0,0.58,0.83
1-0-0 char-word-func,101,none (tf),SVC,0.73,0.73,0.81,0.71,0.79,0.77,0.0,0.73,0.82
1-0-0 char-word-func,101,none (tf),DecisionTreeClassifier,0.73,0.73,0.73,0.71,0.76,0.75,0.75,0.7,0.79
1-0-0 char-word-func,101,none (tf),RandomForestClassifier,0.67,0.64,0.79,0.4,0.72,0.68,0.88,0.52,0.8
1-0-0 char-word-func,101,none (tf),MultinomialNB,0.67,0.69,0.78,0.71,0.76,0.78,0.86,0.76,0.77
1-0-0 char-word-func,101,none (tf),BernoulliNB,0.66,0.68,0.76,0.71,0.69,0.71,0.82,0.71,0.67
1-0-0 char-word-func,101,none (tf),AdaBoostClassifier,0.71,0.71,0.79,0.7,0.81,0.8,0.9,0.76,0.84
2-0-0 char-word-func,1555,binary,LogisticRegression,0.79,0.79,0.89,0.78,0.85,0.84,0.94,0.81,0.88
2-0-0 char-word-func,1555,binary,LinearSVC,0.8,0.8,0.9,0.79,0.84,0.83,0.0,0.8,0.87
2-0-0 char-word-func,1555,binary,SVC,0.8,0.81,0.9,0.8,0.85,0.84,0.0,0.81,0.88
2-0-0 char-word-func,1555,binary,DecisionTreeClassifier,0.73,0.73,0.73,0.71,0.81,0.79,0.79,0.76,0.84
2-0-0 char-word-func,1555,binary,RandomForestClassifier,0.66,0.63,0.89,0.34,0.74,0.7,0.94,0.56,0.82
2-0-0 char-word-func,1555,binary,MultinomialNB,0.72,0.73,0.85,0.73,0.81,0.81,0.92,0.79,0.82
2-0-0 char-word-func,1555,binary,BernoulliNB,0.69,0.71,0.81,0.71,0.74,0.75,0.88,0.73,0.75
2-0-0 char-word-func,1555,binary,AdaBoostClassifier,0.81,0.8,0.87,0.79,0.84,0.82,0.92,0.8,0.86
2-0-0 char-word-func,1555,logent,LogisticRegression,0.55,0.5,0.88,0.0,0.57,0.5,0.95,0.0,0.73
2-0-0 char-word-func,1555,logent,LinearSVC,0.58,0.53,0.88,0.13,0.71,0.66,0.0,0.49,0.8
2-0-0 char-word-func,1555,logent,SVC,0.55,0.5,0.89,0.0,0.57,0.5,0.0,0.0,0.73
2-0-0 char-word-func,1555,logent,DecisionTreeClassifier,0.73,0.73,0.73,0.72,0.83,0.83,0.83,0.8,0.86
2-0-0 char-word-func,1555,logent,RandomForestClassifier,0.67,0.64,0.87,0.37,0.74,0.7,0.94,0.56,0.82
2-0-0 char-word-func,1555,logent,MultinomialNB,0.74,0.72,0.86,0.64,0.8,0.77,0.92,0.7,0.85
2-0-0 char-word-func,1555,logent,BernoulliNB,0.69,0.71,0.81,0.71,0.74,0.75,0.88,0.73,0.75
2-0-0 char-word-func,1555,logent,AdaBoostClassifier,0.8,0.8,0.87,0.78,0.86,0.86,0.93,0.83,0.88
2-0-0 char-word-func,1555,tfidf,LogisticRegression,0.55,0.5,0.75,0.0,0.57,0.5,0.86,0.0,0.73
2-0-0 char-word-func,1555,tfidf,LinearSVC,0.55,0.51,0.76,0.03,0.57,0.5,0.0,0.0,0.73
2-0-0 char-word-func,1555,tfidf,SVC,0.55,0.5,0.79,0.0,0.57,0.5,0.0,0.0,0.73
2-0-0 char-word-func,1555,tfidf,DecisionTreeClassifier,0.71,0.7,0.7,0.68,0.81,0.81,0.81,0.78,0.84
2-0-0 char-word-func,1555,tfidf,RandomForestClassifier,0.66,0.62,0.87,0.34,0.74,0.7,0.94,0.56,0.82
2-0-0 char-word-func,1555,tfidf,MultinomialNB,0.59,0.55,0.8,0.18,0.7,0.65,0.89,0.47,0.79
2-0-0 char-word-func,1555,tfidf,BernoulliNB,0.69,0.71,0.81,0.71,0.74,0.75,0.88,0.73,0.75
2-0-0 char-word-func,1555,tfidf,AdaBoostClassifier,0.78,0.78,0.86,0.76,0.83,0.82,0.92,0.79,0.86
2-0-0 char-word-func,1555,norm,LogisticRegression,0.61,0.58,0.74,0.31,0.69,0.64,0.81,0.43,0.78
2-0-0 char-word-func,1555,norm,LinearSVC,0.71,0.7,0.8,0.67,0.79,0.77,0.0,0.7,0.84
2-0-0 char-word-func,1555,norm,SVC,0.58,0.54,0.77,0.13,0.62,0.55,0.0,0.19,0.75
2-0-0 char-word-func,1555,norm,DecisionTreeClassifier,0.73,0.73,0.73,0.7,0.79,0.77,0.77,0.73,0.82
2-0-0 char-word-func,1555,norm,RandomForestClassifier,0.66,0.63,0.86,0.34,0.74,0.7,0.93,0.56,0.82
2-0-0 char-word-func,1555,norm,MultinomialNB,0.67,0.67,0.76,0.67,0.77,0.76,0.88,0.71,0.81
2-0-0 char-word-func,1555,norm,BernoulliNB,0.69,0.71,0.81,0.71,0.74,0.75,0.88,0.73,0.75
2-0-0 char-word-func,1555,norm,AdaBoostClassifier,0.79,0.79,0.87,0.77,0.87,0.86,0.93,0.84,0.89
2-0-0 char-word-func,1555,relat,LogisticRegression,0.55,0.5,0.68,0.0,0.57,0.5,0.81,0.0,0.73
